Nouvelle acquisition du 22/11/2018 19:29:20
Date;Montée (s);Palier (s);Temp (°C);Negative_Reference_Load_Limit;Positive_Reference_Load_Limit;Load;JT1A;JT2A;JT1B;NA
19:32:37:432;0;3600;25;-0,00;0,00;0,00;5005,48469;5001,32277;5007,25829;5002,95504;
19:32:38:484;0;3600;25;-0,00;0,00;0,00;5005,48836;5001,32573;5007,25881;5002,95382;
19:32:39:466;0;3600;25;-0,00;0,00;0,00;5005,49161;5001,32726;5007,26801;5002,9563;
19:32:40:485;0;3600;25;-0,00;0,00;0,00;5005,48682;5001,31549;5007,26207;5002,96456;
19:32:41:504;0;3600;25;-0,00;0,00;0,00;5005,48477;5001,32243;5007,26309;5002,96008;
19:32:42:521;0;3600;25;-0,00;0,00;0,00;5005,48115;5001,33103;5007,2605;5002,95989;
19:32:43:520;0;3600;25;-0,00;0,00;0,00;5005,47925;5001,32234;5007,25958;5002,95887;
19:32:44:538;0;3600;25;-0,00;0,00;0,00;5005,48621;5001,32531;5007,25631;5002,95992;
19:32:45:538;0;3600;25;-0,00;0,00;0,00;5005,48978;5001,33412;5007,25345;5002,95841;
19:32:46:557;0;3600;25;-0,00;0,00;0,00;5005,48679;5001,32031;5007,25111;5002,94705;
19:32:47:590;0;3600;25;-0,00;0,00;0,00;5005,49444;5001,31648;5007,25603;5002,95696;
19:32:48:608;0;3600;25;-0,00;0,00;0,00;5005,49924;5001,33031;5007,25948;5002,95836;
19:32:49:611;0;3600;25;-0,00;0,00;0,00;5005,48456;5001,32308;5007,25395;5002,95793;
19:32:50:607;0;3600;25;-0,00;0,00;0,00;5005,49005;5001,31146;5007,25764;5002,96179;
19:32:51:625;0;3600;25;-0,00;0,00;0,00;5005,48659;5001,31543;5007,25611;5002,95503;
19:32:52:657;0;3600;25;-0,00;0,00;0,00;5005,4809;5001,32142;5007,25367;5002,96015;
19:32:53:660;0;3600;25;-0,00;0,00;0,00;5005,48411;5001,32073;5007,25489;5002,95843;
19:32:54:682;0;3600;25;-0,00;0,00;0,00;5005,47103;5001,32513;5007,26104;5002,96005;
19:32:55:681;0;3600;25;-0,00;0,00;0,00;5005,46915;5001,32634;5007,26134;5002,95793;
19:32:56:713;0;3600;25;-0,00;0,00;0,00;5005,47803;5001,32363;5007,25532;5002,96047;
19:32:57:745;0;3600;25;-0,00;0,00;0,00;5005,4901;5001,32332;5007,25816;5002,9607;
19:32:58:731;0;3600;25;-0,00;0,00;0,00;5005,48481;5001,31747;5007,26193;5002,95947;
19:32:59:767;0;3600;25;-0,00;0,00;0,00;5005,47511;5001,33333;5007,25936;5002,95366;
19:33:0:779;0;3600;25;-0,00;0,00;0,00;5005,48781;5001,32052;5007,26573;5002,95997;
19:33:1:783;0;3600;25;-0,00;0,00;0,00;5005,49045;5001,32086;5007,26501;5002,95681;
19:33:2:786;0;3600;25;-0,00;0,00;0,00;5005,48578;5001,32404;5007,26223;5002,95325;
19:33:3:856;0;3600;25;-0,00;0,00;0,00;5005,48431;5001,32423;5007,25968;5002,96416;
19:33:4:819;0;3600;25;-0,00;0,00;0,00;5005,49253;5001,33008;5007,25814;5002,95806;
19:33:5:822;0;3600;25;-0,00;0,00;0,00;5005,4877;5001,32617;5007,2554;5002,96221;
19:33:6:852;0;3600;25;-0,00;0,00;0,00;5005,48515;5001,32221;5007,25051;5002,96282;
